actual Price,pred Price
23.6,29.218660139899296
32.4,33.551467195598065
13.6,14.810657992190974
22.8,25.084725457783602
16.1,19.17392702145442
20.0,23.286403994935558
17.8,17.744122496463874
14.0,14.46092122697172
19.6,23.302591071627088
16.8,20.756479917069463
21.5,22.4531707440595
18.9,18.77736488021158
7.0,-6.52970934618893
21.2,21.74968492500409
18.5,19.30195869327467
29.8,26.59522080928021
18.8,21.217548781646194
10.2,5.842563450902141
50.0,40.88127145258737
14.1,17.986900482129467
25.2,27.431772991820583
29.1,30.298717532534873
12.7,11.207593733320568
22.4,24.39691542711022
14.2,18.240072543864713
13.8,16.010876184780685
20.3,22.796836081296966
14.9,14.739583498561341
21.7,19.755762719839844
18.3,19.29298669016597
23.1,22.520173257143544
23.8,25.379839827284577
15.0,26.36505651108039
20.8,18.23697690480197
19.1,16.93419023896909
19.4,17.55836755543347
34.7,31.50335901544139
19.5,20.24159575994169
24.4,21.08251444470804
23.4,24.652675635326073
19.7,13.90452083154859
28.2,32.5789268451033
50.0,43.16818646446916
17.4,17.128961132582113
22.6,27.367060259752773
15.1,17.35854091732743
13.1,14.01099631489327
24.2,25.952295844344793
19.9,20.565382977848607
24.0,30.17900870369374
18.9,21.49771119135086
35.4,34.682429625704984
15.2,16.023344008334472
26.5,26.335337509954417
43.5,40.120238253634625
21.2,22.900832152584492
18.4,19.300660178120577
28.5,32.99670513471331
23.9,25.112696665080627
18.5,12.732246366835636
25.0,22.79239331554258
35.4,30.71175958380053
31.5,31.814871720900776
20.2,15.82826036421438
24.1,20.058198357229358
20.0,13.90910292484864
13.1,20.920572343133454
24.8,26.018022506521902
30.8,30.804720896022715
12.7,11.733697745251064
20.0,20.5084227569361
23.7,27.85098594113608
10.8,11.201112409792337
20.6,15.498383120882771
20.8,23.817491863233627
5.0,6.142938715610274
20.1,21.62836904465127
48.5,41.88626638055333
10.9,19.04288451295459
7.0,8.717542512844965
20.9,20.714910501906807
17.2,13.321767621578875
20.9,20.658185672445224
9.7,9.526386341544235
19.4,23.449624789395184
29.0,29.401169437180986
16.4,19.465669314952923
25.0,25.674380335754048
25.0,29.40908718682511
17.1,20.440202887232957
23.2,25.70799403082802
10.4,5.591998420606885
19.6,20.410591084466862
17.2,14.70093462538691
27.5,12.906222407242302
23.0,21.0600782286387
50.0,25.17368386936583
17.9,-0.5204526837966625
9.6,13.85769945669371
17.2,16.19518172635985
22.5,22.24816901385107
21.4,24.524165969669262
